server_id,datid,relid,indexrelid,schemaname,relname,indexrelname,s_from,s_to,t_from,t_to,dt_sec,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_total,d_delay,d_tuples_deleted,d_pages_deleted,d_failsafe,phase,mode
1,28343,29013,29038,public,sample_stat_indexes,ix_sample_stat_indexes_il,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29039,public,sample_stat_indexes,ix_sample_stat_indexes_ts,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29021,public,sample_stat_indexes,pk_sample_stat_indexes,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28957,public,sample_stat_tables,is_sample_stat_tables_ts,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28958,public,sample_stat_tables,ix_sample_stat_tables_rel,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27063,27071,public,sample_stat_tables,pk_sample_stat_tables,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28935,public,sample_stat_tables,pk_sample_stat_tables,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28969,28989,public,sample_stat_tables_total,ix_sample_stat_tables_total_ts,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28969,28977,public,sample_stat_tables_total,pk_sample_stat_tables_tot,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29489,29510,public,sample_stat_vacuum_indexes,ix_sample_stat_vacuum_indexes_rel,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29489,29498,public,sample_stat_vacuum_indexes,pk_sample_stat_vacuum_indexes,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29467,29488,public,sample_stat_vacuum_tables,ix_sample_stat_vacuum_tables_rel,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29467,29476,public,sample_stat_vacuum_tables,pk_sample_stat_vacuum_tables,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29120,public,sample_statements,ix_sample_stmts_qid,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29121,public,sample_statements,ix_sample_stmts_rol,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29103,public,sample_statements,pk_sample_statements_n,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29072,29091,public,stmt_list,ix_stmt_list_smp,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29072,29079,public,stmt_list,pk_stmt_list,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27046,27062,public,tables_list,ix_tables_list_samples,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28910,28926,public,tables_list,ix_tables_list_samples,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27046,27055,public,tables_list,pk_tables_list,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28910,28919,public,tables_list,pk_tables_list,143,144,2026-04-26 11:26:26+03,2026-04-26 11:26:42+03,16.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31352,31357,public,evs_index_window,ix_evs_index_window_rel,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31279,31284,public,evs_window,ix_evs_window_relname,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31358,31363,public,evs_window_with_indexes,ix_evs_window_with_indexes_rel,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31285,31290,public,evs_workload_profile,ix_evs_workload_profile_rel,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28990,29011,public,indexes_list,ix_indexes_list_rel,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28990,29012,public,indexes_list,ix_indexes_list_smp,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28990,28999,public,indexes_list,pk_indexes_list,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29388,29397,public,last_extension_versions,pk_last_extension_versions,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29643,29656,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27779,27792,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28778,28788,public,last_stat_io,pk_last_stat_io_samples,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29565,29577,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27701,27713,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29625,29636,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27761,27772,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1259,2662,pg_catalog,pg_class,pg_class_oid_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,28045,28063,public,pgbench_accounts,pgbench_accounts_pkey,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29909,29927,public,pgbench_accounts,pgbench_accounts_pkey,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27149,27174,public,sample_stat_indexes,ix_sample_stat_indexes_il,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29038,public,sample_stat_indexes,ix_sample_stat_indexes_il,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29039,public,sample_stat_indexes,ix_sample_stat_indexes_ts,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29021,public,sample_stat_indexes,pk_sample_stat_indexes,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28957,public,sample_stat_tables,is_sample_stat_tables_ts,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28958,public,sample_stat_tables,ix_sample_stat_tables_rel,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27063,27071,public,sample_stat_tables,pk_sample_stat_tables,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28935,public,sample_stat_tables,pk_sample_stat_tables,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28969,28989,public,sample_stat_tables_total,ix_sample_stat_tables_total_ts,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28969,28977,public,sample_stat_tables_total,pk_sample_stat_tables_tot,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29489,29510,public,sample_stat_vacuum_indexes,ix_sample_stat_vacuum_indexes_rel,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,1,0,0,0,0,0,0.0030000000000000027,0,0,0,0,B-middle,broken
1,28343,29489,29498,public,sample_stat_vacuum_indexes,pk_sample_stat_vacuum_indexes,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,1,0,0,0,0,0,0.0040000000000000036,0,0,0,0,B-middle,broken
1,28343,29467,29488,public,sample_stat_vacuum_tables,ix_sample_stat_vacuum_tables_rel,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29467,29476,public,sample_stat_vacuum_tables,pk_sample_stat_vacuum_tables,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29120,public,sample_statements,ix_sample_stmts_qid,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29121,public,sample_statements,ix_sample_stmts_rol,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29103,public,sample_statements,pk_sample_statements_n,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29072,29091,public,stmt_list,ix_stmt_list_smp,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29072,29079,public,stmt_list,pk_stmt_list,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27046,27062,public,tables_list,ix_tables_list_samples,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28910,28926,public,tables_list,ix_tables_list_samples,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27046,27055,public,tables_list,pk_tables_list,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28910,28919,public,tables_list,pk_tables_list,144,145,2026-04-26 11:26:42+03,2026-04-26 11:26:57+03,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31352,31357,public,evs_index_window,ix_evs_index_window_rel,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31279,31284,public,evs_window,ix_evs_window_relname,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31358,31363,public,evs_window_with_indexes,ix_evs_window_with_indexes_rel,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,31285,31290,public,evs_workload_profile,ix_evs_workload_profile_rel,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28990,29011,public,indexes_list,ix_indexes_list_rel,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28990,29012,public,indexes_list,ix_indexes_list_smp,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28990,28999,public,indexes_list,pk_indexes_list,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29388,29397,public,last_extension_versions,pk_last_extension_versions,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29643,29656,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27779,27792,public,last_stat_indexes_srv1,pk_last_stat_indexes_srv1,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28778,28788,public,last_stat_io,pk_last_stat_io_samples,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29565,29577,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27701,27713,public,last_stat_statements_srv1,pk_last_stat_satements_srv1,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29625,29636,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27761,27772,public,last_stat_tables_srv1,pk_last_stat_tables_srv1,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1259,2662,pg_catalog,pg_class,pg_class_oid_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,28045,28063,public,pgbench_accounts,pgbench_accounts_pkey,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29909,29927,public,pgbench_accounts,pgbench_accounts_pkey,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27149,27174,public,sample_stat_indexes,ix_sample_stat_indexes_il,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29038,public,sample_stat_indexes,ix_sample_stat_indexes_il,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29039,public,sample_stat_indexes,ix_sample_stat_indexes_ts,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29013,29021,public,sample_stat_indexes,pk_sample_stat_indexes,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28957,public,sample_stat_tables,is_sample_stat_tables_ts,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28958,public,sample_stat_tables,ix_sample_stat_tables_rel,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27063,27071,public,sample_stat_tables,pk_sample_stat_tables,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28927,28935,public,sample_stat_tables,pk_sample_stat_tables,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28969,28989,public,sample_stat_tables_total,ix_sample_stat_tables_total_ts,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28969,28977,public,sample_stat_tables_total,pk_sample_stat_tables_tot,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29489,29510,public,sample_stat_vacuum_indexes,ix_sample_stat_vacuum_indexes_rel,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29489,29498,public,sample_stat_vacuum_indexes,pk_sample_stat_vacuum_indexes,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29467,29488,public,sample_stat_vacuum_tables,ix_sample_stat_vacuum_tables_rel,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29467,29476,public,sample_stat_vacuum_tables,pk_sample_stat_vacuum_tables,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29120,public,sample_statements,ix_sample_stmts_qid,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29121,public,sample_statements,ix_sample_stmts_rol,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29092,29103,public,sample_statements,pk_sample_statements_n,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29072,29091,public,stmt_list,ix_stmt_list_smp,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,29072,29079,public,stmt_list,pk_stmt_list,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,26479,27046,27062,public,tables_list,ix_tables_list_samples,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
1,28343,28910,28926,public,tables_list,ix_tables_list_samples,145,146,2026-04-26 11:26:57+03,2026-04-26 11:27:15+03,18.000000,0,0,0,0,0,0,0,0,0,0,0,0,B-middle,broken
